,thscode,x1,ww1,x2,ww2,x3,ww3,x4,ww4,x5,ww5,x6,ww6,x7,ww7,x8,ww8,x9,ww9,x10,ww10
10,660006.OF,2045.0,4396600.0,777.0,3562926.16,2311.0,3427274.2,841.0,2188368.0,1104.0,2101920.0,1488.0,1986721.22,442.0,1363000.0,1357.0,1207860.0,985.0,1077398.0,633.0,1030516.0
11,660010.OF,777.0,163945502.51,308.0,118356447.3,1003.0,114022583.1,266.0,100450860.84,734.0,96792662.0,817.0,91418092.15,318.0,87976395.0,435.0,75207361.46,164.0,69049005.01,930.0,60992644.44
12,660012.OF,2045.0,44304200.0,1357.0,31463280.0,358.0,24409880.0,1429.0,23010786.0,605.0,22047220.8,1087.0,15618978.0,167.0,15378350.0,1104.0,15186720.0,775.0,13740480.0,411.0,12054282.0
13,688888.OF,250.0,100660000.0,807.0,96140000.0,453.0,86205000.0,435.0,77150000.0,42.0,76950000.0,427.0,76640000.0,398.0,76300000.0,97.0,75150000.0,873.0,56800000.0,123.0,51752000.0
14,690004.OF,1372.0,7557624.0,1051.0,7183533.9,621.0,6834734.72,443.0,5065140.0,685.0,4993434.0,677.0,4702839.0,821.0,4366280.0,412.0,4306410.0,1260.0,4288275.0,53.0,4203738.0
15,690005.OF,375.0,18878842.62,287.0,14828238.87,732.0,13560321.0,677.0,12179991.0,406.0,11425015.0,146.0,11332895.5,320.0,10680138.0,277.0,10181755.0,676.0,10028872.0,143.0,8434643.7
16,690007.OF,531.0,96146187.72,987.0,72959208.84,513.0,63364064.0,1372.0,61044142.0,835.0,60861650.05,715.0,60155038.77,561.0,59984218.26,361.0,59536893.0,2045.0,58452797.0,1488.0,52195187.0
17,700001.OF,1087.0,8192844.0,801.0,6398874.0,524.0,5841708.0,608.0,5140152.0,338.0,5086858.0,112.0,4998540.0,743.0,4933164.0,406.0,4928940.0,292.0,4793862.0,197.0,4755300.0
18,700003.OF,217.0,185114000.5,678.0,169143771.4,193.0,160482989.87,472.0,143365235.21,149.0,134057177.1,594.0,124377566.1,99.0,106977711.15,841.0,103160925.0,303.0,101515638.0,181.0,100590025.49
19,720001.OF,161.0,223975691.2,107.0,161482860.0,152.0,137317356.0,406.0,119009376.0,156.0,112007161.0,124.0,101425010.45,167.0,101096558.63,35.0,99741244.48,171.0,99211960.4,498.0,98254607.0
20,750001.OF,576.0,122858137.32,69.0,106602789.04,1032.0,98902104.14,764.0,96578197.17,291.0,95013835.0,610.0,85914120.0,323.0,81325824.0,300.0,79329453.84,277.0,69724573.8,500.0,69536825.0
21,160133.SZ,2045.0,98176078.0,2311.0,68321269.8,777.0,67288405.56,513.0,58526968.0,1029.0,39797850.4,370.0,31910004.3,332.0,31865255.1,453.0,25680536.0,369.0,25214904.0,987.0,23132469.09
22,160322.SZ,1052.0,35158785.32,40.0,33152390.88,777.0,23282303.64,305.0,20291903.92,111.0,18402278.25,59.0,14224837.58,50.0,11974879.08,26.0,11338141.25,79.0,11138578.68,356.0,11101929.97
23,000041.OF,,,,,,,,,,,,,,,,,,,,
24,000043.OF,,,,,,,,,,,,,,,,,,,,
25,000082.OF,16.0,20211928.77,301.0,15063620.0,550.0,13532820.0,841.0,12495000.0,382.0,11888044.5,2045.0,11708484.0,1207.0,10922989.0,1429.0,10834769.0,801.0,10792092.0,331.0,10165892.0
26,000309.OF,122.0,31199221.68,55.0,30770000.0,48.0,29427263.07,118.0,27123604.55,1372.0,20841781.0,537.0,20717340.0,487.0,20353275.0,2311.0,17790710.4,987.0,16477626.0,149.0,16201386.19
27,000409.OF,1051.0,264259280.1,577.0,247248869.7,573.0,239826186.06,2311.0,236116084.59,430.0,160405267.2,1372.0,149205108.89,794.0,143312521.0,296.0,122875642.5,621.0,93928378.34,673.0,71757890.0
28,000457.OF,1386.0,90704207.55,1051.0,86418537.9,703.0,78687972.22,723.0,65862932.0,261.0,60900136.37,287.0,57028463.7,2311.0,49128763.07,1372.0,34300883.0,687.0,32224780.0,987.0,27221658.0
29,000471.OF,1087.0,40285134.0,195.0,38063739.0,764.0,37187055.99,214.0,27596327.04,1029.0,27431700.0,117.0,26805112.6,287.0,26746551.0,371.0,25277964.0,288.0,23990233.0,715.0,23809614.28
30,000513.OF,138.0,75899000.0,291.0,67413600.0,624.0,62618946.0,226.0,60141630.0,370.0,53947994.2,1536.0,45618340.88,181.0,37551629.0,2045.0,33820000.0,103.0,24870000.0,213.0,24024210.0
31,000524.OF,1214.0,12090900.0,764.0,7521560.2,2045.0,6774146.0,551.0,5886973.98,723.0,5621245.0,1204.0,4359837.88,1536.0,4050703.16,377.0,3970956.0,223.0,3825360.0,930.0,3779401.2
32,000549.OF,813.0,2095976.0,673.0,1884522.0,705.0,1779984.66,2311.0,1729652.4,835.0,1618042.65,1536.0,1381243.5,841.0,1311828.0,1495.0,1223614.26,1204.0,1131534.0,683.0,1097790.0
33,000577.OF,2311.0,199140875.11,2045.0,191331577.0,807.0,158946339.2,888.0,154904792.64,827.0,148576913.71,841.0,148479556.68,987.0,132905742.0,945.0,120012611.67,985.0,118341809.6,300.0,94350745.02
34,000592.OF,673.0,68804692.3,1214.0,59437095.0,764.0,31640035.0,551.0,30628161.0,215.0,27915264.0,990.0,26262654.0,608.0,25463688.0,282.0,24849635.76,439.0,23599683.0,403.0,23540110.0
35,000628.OF,1495.0,744770176.92,1087.0,728889364.02,242.0,684618990.54,642.0,576891224.33,356.0,555273657.06,33.0,443089564.68,250.0,383048821.12,390.0,381665739.51,49.0,261414874.75,1003.0,212361436.2
36,000746.OF,558.0,190878749.0,734.0,187845312.0,633.0,186361231.92,487.0,179848554.26,777.0,122462862.16,442.0,118985260.0,247.0,114215850.0,625.0,113446112.0,1003.0,111688403.7,818.0,109621167.0
37,000751.OF,361.0,643343122.5,665.0,474366833.55,226.0,445612885.6,1495.0,402997258.62,1029.0,401563812.2,683.0,347535413.5,775.0,319970418.0,358.0,299887799.35,211.0,287182258.11,345.0,243770215.0
38,000778.OF,1357.0,20275255.8,642.0,20100082.32,1488.0,19661114.0,2045.0,19615600.0,1087.0,19581408.3,841.0,19341504.0,835.0,17919090.72,308.0,14540890.0,154.0,10294810.2,403.0,10226755.0
39,000780.OF,1267.0,52199312.4,358.0,32171555.0,500.0,26126262.0,439.0,24075603.0,72.0,22998014.0,390.0,21282349.0,245.0,16861452.0,157.0,15535447.0,394.0,15496515.0,742.0,15429996.0
40,000828.OF,962.0,471176924.4,935.0,440122951.45,813.0,404461045.5,765.0,373734420.7,551.0,260850229.56,1214.0,238115383.05,764.0,227878940.8,690.0,205626674.82,1114.0,197525440.0,1495.0,193162464.0
41,000831.OF,1267.0,355061959.3,439.0,303401974.5,500.0,295220088.0,945.0,254412228.48,683.0,242344453.05,1029.0,239840000.0,521.0,234200428.72,498.0,216615950.92,349.0,183108249.2,358.0,138980690.0
42,000866.OF,146.0,15842484.0,214.0,13913922.72,41.0,13607143.2,100.0,12556215.0,98.0,12493881.0,403.0,12467542.01,191.0,11775942.0,157.0,11323280.0,153.0,11302405.6,77.0,10604445.0
43,000893.OF,193.0,221100387.2,560.0,215942400.0,214.0,188955456.95,770.0,180783000.0,319.0,168367649.66,379.0,163373613.56,317.0,161496629.76,801.0,156659400.0,215.0,155448000.0,1003.0,151146000.0
44,000925.OF,639.0,64402800.0,394.0,58848488.6,2045.0,58840036.0,1087.0,54691687.92,558.0,54348233.0,115.0,50475655.74,326.0,46243719.0,1488.0,44646267.93,591.0,42660279.4,1185.0,39432785.91
45,000955.OF,2045.0,24451860.0,2311.0,17941940.59,513.0,16960870.0,755.0,16886916.47,1029.0,10133240.0,1429.0,8047488.0,1144.0,7461726.3,332.0,7382358.9,453.0,7288589.0,369.0,6669338.0
46,000960.OF,147.0,132515262.6,322.0,129848839.94,521.0,127631881.57,111.0,124464356.58,608.0,110286460.14,147.0,101769390.48,168.0,93905914.4,131.0,87213411.36,214.0,82956074.04,235.0,76625154.4
47,000971.OF,2045.0,141722710.0,1488.0,126839375.08,539.0,113427596.36,1267.0,104172536.8,1006.0,93551773.95,687.0,75293323.59,1429.0,66896839.7,1144.0,65863103.25,715.0,48625061.34,676.0,47146680.0
48,000978.OF,676.0,7767256.0,569.0,6881288.0,404.0,6748947.0,270.0,6559800.0,293.0,6247662.0,418.0,5883651.0,326.0,5837579.0,291.0,5826919.55,245.0,5822382.0,176.0,5789706.6
49,000979.OF,356.0,355999919.34,390.0,349716602.59,1185.0,340598082.72,329.0,293138843.2,250.0,267494206.47,1029.0,176597489.8,231.0,175726582.94,120.0,172391045.94,278.0,137612044.14,237.0,136322535.36
