,thscode,bondfundtype20230630,bondfundtype20221231,bondfundtype20220630,bondfundtype20211231,bondfundtype20210630,bondfundtype20201231,bondtype
269,005309.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
270,005321.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
271,005322.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
272,005336.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
273,005338.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
274,005364.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
275,005369.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
276,005375.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
277,005383.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
278,005388.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
279,005393.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
280,005398.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
281,005410.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
282,005419.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
283,005432.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
284,005435.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
285,005439.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
286,005442.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
287,005462.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
288,005469.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
289,005525.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
290,005577.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
291,005590.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
292,005594.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
293,005606.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
294,005622.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
295,005631.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
296,005648.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
297,005666.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
298,005670.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
