,thscode,ths_fund_code_fund,ths_fund_short_name_fund,ths_fund_supervisor_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,ths_mergesize_fund,ACEtype,Fundtype
2143,006758.OF,006758,农银汇理金禄债券,农银汇理基金,"郭振宇,周宇",中长期纯债券型基金,6163762758.41,,纯债基金
2147,006764.OF,006764,景顺长城景泰鑫利纯债A,景顺长城基金,何江波,中长期纯债券型基金,708160599.3,A,纯债基金
2149,006771.OF,006771,永赢合益债券,永赢基金,谢越,中长期纯债券型基金,1999994224.2,,纯债基金
2150,006772.OF,006772,汇添富丰润中短债A,汇添富基金,杨靖,短期纯债券型基金,211753451.62,A,纯债基金
2153,006776.OF,006776,华夏鼎略债券A,华夏基金,孙蕾,中长期纯债券型基金,2153656778.25,A,纯债基金
2155,006782.OF,006782,国泰信利三个月定期开放债券,国泰基金,"刘波,刘嵩扬",混合债券型基金(一级),4009281647.08,,纯债基金
2158,006791.OF,006791,建信睿兴纯债债券,建信基金,刘思,中长期纯债券型基金,1857311001.81,,纯债基金
2159,006793.OF,006793,交银稳鑫短债债券A,交银施罗德,"姬静,黄莹洁",短期纯债券型基金,7955027518.270001,A,纯债基金
2162,006797.OF,006797,嘉实中短债债券A,嘉实基金,李金灿,短期纯债券型基金,15671255801.95,A,纯债基金
2166,006804.OF,006804,富国短债债券型A,富国基金,"张波,刘爱民",短期纯债券型基金,10243709396.7,A,纯债基金
2168,006806.OF,006806,西部利得添盈短债债券A,西部利得基金,刘心峰,短期纯债券型基金,1309046961.01,A,纯债基金
2173,006824.OF,006824,创金合信鑫日享短债债券A,创金合信基金,"闫一帆,谢创,张贺章",混合债券型基金(一级),6039263540.76,A,纯债基金
2178,006829.OF,006829,鹏扬利沣短债A,鹏扬基金,"陈钟闻,王黎骁",短期纯债券型基金,907975529.85,A,纯债基金
2183,006834.OF,006834,工银尊享短债债券A,工银瑞信,王朔,短期纯债券型基金,5137730305.79,A,纯债基金
2186,006838.OF,006838,鑫元荣利三个月定开债发起式,鑫元基金,郭卉,中长期纯债券型基金,331187281.16,,纯债基金
2189,006841.OF,006841,嘉实致享纯债债券,嘉实基金,"赵国英,张文佳",中长期纯债券型基金,7124739995.6,,纯债基金
2191,006846.OF,006846,福建国有企业债6个月定期开放债券A,中银基金,易芳菲,中长期纯债券型基金,728592586.08,A,纯债基金
2195,006850.OF,006850,永赢颐利债券,永赢基金,谢越,中长期纯债券型基金,2349283825.51,,纯债基金
2197,006852.OF,006852,永赢迅利中高等级短债A,永赢基金,卢绮婷,短期纯债券型基金,8607220655.76,A,纯债基金
2204,006869.OF,006869,广发政策性金融债,广发基金,"赵子良,洪志",中长期纯债券型基金,2622376729.54,,纯债基金
2207,006874.OF,006874,创金合信恒兴中短债债券A,创金合信基金,"黄佳祥,郑振源,谢创",混合债券型基金(一级),5086575455.19,A,纯债基金
2209,006884.OF,006884,添富AAA级信用纯债A,汇添富基金,杨靖,中长期纯债券型基金,11982248288.75,AAAA,纯债基金
2210,006885.OF,006885,添富AAA级信用纯债C,汇添富基金,杨靖,中长期纯债券型基金,11982248288.75,AAAC,纯债基金
2213,006893.OF,006893,汇添富丰利短债A,汇添富基金,"郑文旭,胡娜",短期纯债券型基金,3548156251.13,A,纯债基金
2218,006901.OF,006901,上银慧祥利债券A,上银基金,许佳,中长期纯债券型基金,6152286104.32,A,纯债基金
2221,006907.OF,006907,银华安鑫短债债券A,银华基金,"王树丽,魏昕宇",短期纯债券型基金,5876694481.08,A,纯债基金
2225,006915.OF,006915,南方亨元A,南方基金,黄斌斌,中长期纯债券型基金,6308919954.3,A,纯债基金
2228,006919.OF,006919,国寿安保泰和纯债债券,国寿安保基金,丁宇佳,混合债券型基金(一级),5666959772.63,,纯债基金
2232,006929.OF,006929,博时富融纯债债券,博时基金,王帅,中长期纯债券型基金,1019705727.78,,纯债基金
2235,006934.OF,006934,平安3-5年期政策性金融债债券A,平安基金,"刘晓兰,苏宁,张璐",中长期纯债券型基金,55621255.27,A,纯债基金
2237,006936.OF,006936,华安安盛定开,华安基金,康钊,中长期纯债券型基金,1491309631.57,,纯债基金
2239,006944.OF,006944,永赢悦利债券,永赢基金,"徐沛琳,吴玮",中长期纯债券型基金,8674354342.72,,纯债基金
2244,006953.OF,006953,华安安业债券A,华安基金,康钊,中长期纯债券型基金,4664200967.29,A,纯债基金
2246,006955.OF,006955,国泰惠富纯债债券A,国泰基金,"索峰,胡智磊",中长期纯债券型基金,2910119822.09,A,纯债基金
2247,006956.OF,006956,鹏华永润一年定期开放债券,鹏华基金,刘涛,中长期纯债券型基金,1964936528.29,,纯债基金
2248,006958.OF,006958,鹏华永融一年定期开放债券,鹏华基金,刘涛,中长期纯债券型基金,860501230.38,,纯债基金
