,thscode,ths_jjggbl_fund
577,008366.OF,127.18387433593
578,008383.OF,120.92858476206
579,008406.OF,125.14567778066
580,008409.OF,108.30097345365
581,008411.OF,110.55914695453
582,008429.OF,165.60975064569
583,008460.OF,129.92049616054
584,008463.OF,102.99435166746
585,008465.OF,119.30041041393
586,008471.OF,146.64961171847
587,008478.OF,195.87435013525
588,008493.OF,154.36926273965
589,008497.OF,120.57369850285
590,008508.OF,100.0525068561
591,008509.OF,130.03044491345
592,008516.OF,135.18737492692
593,008521.OF,150.79579377192
594,008535.OF,166.96963747737
595,008539.OF,100.03742866906
596,008558.OF,126.67057158703
597,008568.OF,127.32287833934
598,008569.OF,
599,008575.OF,158.54909384552
600,008582.OF,105.91779558794
601,008587.OF,104.40529564594
602,008596.OF,136.82802880192
603,008608.OF,136.05293665245
604,008620.OF,135.54761693161
605,008644.OF,133.82143136782
606,008646.OF,114.92140378919
607,008648.OF,127.85715583594
608,008649.OF,134.84933720267
609,008650.OF,103.50887472157
610,008651.OF,110.85137902518
611,008661.OF,148.9068481989
612,008674.OF,139.65744207058
613,008675.OF,175.65392152414
614,008700.OF,159.0323532698
615,008722.OF,156.09639739783
616,008730.OF,118.71110182363
617,008738.OF,131.50234281857
618,008746.OF,100.04227099096
619,008761.OF,124.94329572267
620,008762.OF,100.03908637047
621,008774.OF,100.90430011466
622,008796.OF,126.08956352066
623,008802.OF,135.28280537151
624,008807.OF,103.96609259696
625,008826.OF,131.15550375938
626,008829.OF,110.05244719814
627,008857.OF,120.55760734822
628,008862.OF,100.12731427739
629,008863.OF,168.04830020907
630,008875.OF,128.10612756031
631,008902.OF,124.13109751461
632,008925.OF,122.83024085793
633,008995.OF,100.0825953296
634,009001.OF,119.17204832902
635,009021.OF,126.98746853191
636,009041.OF,122.35329379953
637,009045.OF,137.6497423218
638,009082.OF,110.00214355368
639,009091.OF,120.43415957205
640,009105.OF,156.62001148628
641,009148.OF,156.40641709127
642,009166.OF,113.19579383175
643,009167.OF,108.98739342059
644,009207.OF,105.9738080422
645,009212.OF,147.61436426171
646,009235.OF,157.54711136399
647,009237.OF,132.91942159977
648,009252.OF,126.19215470014
649,009254.OF,183.36229201605
650,009257.OF,102.00064979141
651,009271.OF,130.72232811392
652,009284.OF,100.06980675596
653,009289.OF,108.06899521325
654,009290.OF,100.87079702258
655,009292.OF,145.7517966179
656,009294.OF,134.30886438448
657,009298.OF,109.10528720936
658,009306.OF,102.90539739327
659,009309.OF,108.16803198923
660,009338.OF,126.73566883151
661,009343.OF,126.94040661701
662,009356.OF,135.48017663732
663,009417.OF,156.07209723955
664,009450.OF,140.27211232316
665,009453.OF,100.2927909267
666,009483.OF,116.46904667842
667,009577.OF,163.09291372333
668,009578.OF,127.6717889995
669,009580.OF,108.3378457522
670,009583.OF,174.71725691401
671,009587.OF,151.23812593754
672,009599.OF,124.33631558099
673,009600.OF,126.97727693403
674,009632.OF,181.16845865403
675,009643.OF,107.74195631048
676,009655.OF,116.1067305384
677,009666.OF,180.97990192581
678,009685.OF,119.29259883444
679,009711.OF,136.5774806654
680,009732.OF,160.38812645585
681,009749.OF,174.09408919774
682,009770.OF,133.87819367424
683,009792.OF,116.06807773516
684,009799.OF,148.47402013496
685,009809.OF,157.81094234639
686,009831.OF,126.6858564606
