,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,Stable_Count,XStable,YStable,independent
210,166009.SZ,中欧新动力混合(LOF)A,王健,稳定行业均衡基金,风格轮动基金,风格轮动基金,
211,166024.SZ,中欧恒利三年定期开放混合,"曹名长,沈悦",稳定行业均衡基金,稳定价值型,稳定小盘,
212,168101.SZ,九泰锐智事件驱动混合(LOF),刘开运,稳定行业均衡基金,风格轮动基金,稳定大盘,
213,168102.SZ,九泰锐富事件驱动混合(LOF)A,"袁多武,刘开运",行业轮动基金,稳定价值型,风格轮动基金,
214,501038.SH,银华明择多策略定期开放混合,"苏静然,倪明",行业轮动基金,风格轮动基金,风格轮动基金,
215,501046.SH,财通福鑫定开混合发起,金梓才,行业轮动基金,风格轮动基金,风格轮动基金,
216,501049.SH,东方红睿玺三年定开混合A,"王延飞,张伟锋",稳定行业均衡基金,稳定价值型,风格轮动基金,
217,501051.SH,圆信汇利,邹维,稳定行业均衡基金,风格轮动基金,风格轮动基金,
218,000011.OF,华夏大盘精选混合A/B,陈伟彦,稳定行业均衡基金,风格轮动基金,风格轮动基金,
219,000017.OF,财通可持续混合,夏钦,稳定行业均衡基金,风格轮动基金,风格轮动基金,
220,000020.OF,景顺长城品质投资混合A,詹成,稳定行业均衡基金,风格轮动基金,风格轮动基金,
221,000021.OF,华夏优势增长混合,郑晓辉,稳定行业均衡基金,风格轮动基金,稳定大盘,
222,000031.OF,华夏复兴混合A,周克平,稳定行业均衡基金,风格轮动基金,风格轮动基金,
223,000039.OF,农银高增长混合,张燕,行业轮动基金,风格轮动基金,风格轮动基金,
224,000083.OF,汇添富消费行业混合,胡昕炜,稳定消费行业基金,风格轮动基金,稳定大盘,
225,000117.OF,广发轮动配置混合,吴兴武,稳定行业均衡基金,风格轮动基金,稳定大盘,
226,000127.OF,农银行业领先混合,张峰,稳定行业均衡基金,风格轮动基金,风格轮动基金,
227,000167.OF,广发聚优灵活配置混合A,张东一,行业轮动基金,风格轮动基金,稳定大盘,
228,000172.OF,华泰柏瑞量化增强混合A,"田汉卿,徐帅宇",稳定行业均衡基金,风格轮动基金,稳定大盘,
229,000173.OF,汇添富美丽30混合A,王栩,稳定行业均衡基金,风格轮动基金,风格轮动基金,
230,000242.OF,景顺长城策略精选灵活配置混合A,张靖,稳定行业均衡基金,风格轮动基金,稳定中盘,
231,000251.OF,工银金融地产混合A,鄢耀,稳定金融地产行业基金,稳定价值型,稳定大盘,
232,000263.OF,工银信息产业混合A,单文,稳定行业均衡基金,风格轮动基金,风格轮动基金,
233,000264.OF,博时内需增长混合A,"刘阳,陈雷",稳定行业均衡基金,风格轮动基金,风格轮动基金,
234,000294.OF,华安生态优先混合A,陈媛,行业轮动基金,风格轮动基金,稳定大盘,
235,000308.OF,建信创新中国混合,邵卓,稳定行业均衡基金,风格轮动基金,风格轮动基金,
236,000339.OF,长城医疗保健混合A,谭小兵,稳定医药行业基金,风格轮动基金,风格轮动基金,
237,000390.OF,华商优势行业混合,周海栋,行业轮动基金,风格轮动基金,稳定中盘,
238,000408.OF,民生加银城镇化混合A,柳世庆,稳定行业均衡基金,风格轮动基金,风格轮动基金,
239,000480.OF,东方红新动力混合A,周云,稳定行业均衡基金,稳定价值型,风格轮动基金,
240,000520.OF,上银新兴价值成长混合,赵治烨,稳定行业均衡基金,风格轮动基金,稳定大盘,
241,000522.OF,华润元大信息传媒科技混合,刘宏毅,稳定TMT行业基金,风格轮动基金,风格轮动基金,
242,000527.OF,南方新优享灵活配置混合A,章晖,稳定行业均衡基金,风格轮动基金,风格轮动基金,
243,000589.OF,光大保德信银发商机混合,陈栋,稳定行业均衡基金,风格轮动基金,稳定大盘,
244,000595.OF,嘉实泰和混合,归凯,稳定行业均衡基金,风格轮动基金,风格轮动基金,
245,000609.OF,华商新量化混合A,邓默,行业轮动基金,风格轮动基金,稳定大盘,
246,000612.OF,华宝生态中国混合A,夏林锋,稳定行业均衡基金,风格轮动基金,风格轮动基金,
247,000619.OF,东方红产业升级混合,王延飞,稳定行业均衡基金,风格轮动基金,风格轮动基金,
248,000652.OF,博时裕隆混合A,陈鹏扬,稳定行业均衡基金,风格轮动基金,稳定中盘,
249,000727.OF,融通健康产业灵活配置混合A/B,万民远,稳定医药行业基金,风格轮动基金,稳定小盘,
250,000742.OF,国泰新经济灵活配置混合A,彭凌志,行业轮动基金,稳定成长型,风格轮动基金,
251,000747.OF,广发逆向策略混合A,程琨,稳定行业均衡基金,风格轮动基金,稳定中盘,
252,000877.OF,华泰柏瑞量化优选混合,"盛豪,雷文渊",稳定行业均衡基金,风格轮动基金,稳定大盘,
253,000880.OF,富国研究精选灵活配置混合A,刘莉莉,行业轮动基金,风格轮动基金,风格轮动基金,
254,000934.OF,国富大中华精选混合人民币,徐成,,,,
255,000939.OF,中银研究精选灵活配置混合A,吴印,稳定行业均衡基金,风格轮动基金,稳定大盘,
256,000940.OF,富国中小盘精选混合A,曹晋,行业轮动基金,风格轮动基金,风格轮动基金,
257,000965.OF,汇丰晋信新动力混合,"闵良超,陈平",行业轮动基金,风格轮动基金,风格轮动基金,
258,000967.OF,华泰柏瑞创新动力混合,吴邦栋,稳定行业均衡基金,风格轮动基金,风格轮动基金,
259,000976.OF,长城新兴产业混合,陈良栋,稳定行业均衡基金,风格轮动基金,稳定中盘,
260,000977.OF,长城环保主题灵活配置混合A,廖瀚博,稳定行业均衡基金,风格轮动基金,风格轮动基金,
261,001000.OF,中欧明睿新起点混合,葛兰,行业轮动基金,稳定成长型,稳定大盘,
262,001017.OF,宏利改革动力混合A,刘欣,稳定行业均衡基金,风格轮动基金,风格轮动基金,
263,001018.OF,易方达新经济混合,陈皓,稳定行业均衡基金,风格轮动基金,风格轮动基金,
264,001053.OF,南方创新经济,章晖,稳定行业均衡基金,风格轮动基金,风格轮动基金,
265,001071.OF,华安媒体互联网混合A,胡宜斌,行业轮动基金,风格轮动基金,风格轮动基金,
