,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,bigcompany,Duration,lever,bondtype
866,015473.OF,工银瑞恒3个月定开债券A,王朔,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,
867,015487.OF,蜂巢丰泰三个月定开债券A,李海涛,混合债券型基金(一级),稳定小基金公司,稳定中,稳定中,
868,015492.OF,中航瑞发3个月定开债A,"汪术勤,茅勇峰",中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
869,015516.OF,建信鑫恒120天滚动持有中短债债券A,"徐华婧,彭紫云",短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
870,015530.OF,鹏华稳福中短债债券A,"叶朝明,王康佳",短期纯债券型基金,稳定小基金公司,稳定中,稳定中,
871,015552.OF,中加安盈一年定开债券发起,于跃,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
872,015569.OF,招商招裕纯债D,"康晶,王闯",中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,
873,015581.OF,国寿安保泰然纯债债券,丁宇佳,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,
874,015622.OF,平安合禧1年定开债发起式,"张璐,段玮婧",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
875,015624.OF,国投瑞银顺晖一年定开债发起式,李鸥,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
876,015629.OF,招商添兴6个月定开债,刘万锋,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,
877,015653.OF,鹏华永平6个月定开债券,"祝松,邓明明",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
878,015654.OF,交银稳鑫短债债券D,"黄莹洁,姬静",短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
879,015720.OF,平安元悦60天滚动持有短债A,"刘晓兰,张璐",短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
880,015736.OF,长盛盛裕纯债D,王贵君,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
881,015746.OF,博时四月享120天持有期债券A,倪玉娟,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
882,015811.OF,兴证全球恒泰一年定开债券发起式,季伟杰,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
883,015815.OF,浦银稳鑫120天滚动持有中短债A,曹治国,短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
884,015830.OF,平安惠复纯债A,"张璐,韩克",中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,
885,015832.OF,永赢宏泰短债A,徐沛琳,短期纯债券型基金,稳定小基金公司,稳定长,稳定小,
886,015834.OF,汇添富鑫和纯债A,杨靖,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,
887,015848.OF,天弘合益D,"潘昱杉,程明",中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
888,015852.OF,华泰柏瑞益安三个月定开债券,罗远航,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,
889,015853.OF,汇添富稳安三个月持有债券A,杨靖,混合债券型基金(一级),稳定小基金公司,稳定短,稳定小,
890,015858.OF,浦银安盛盛嘉一年定开债券发起式,陶祺,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
891,015893.OF,广发景益债券,吴迪,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,
892,015913.OF,华夏鼎安一年定开债券发起式,吴彬,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
893,015917.OF,兴业30天滚动持有中短债A,"刘禹含,王卓然",短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
894,015925.OF,万家鑫融纯债债券A,"周潜玮,周慧",中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
895,015949.OF,上银聚恒益一年定开债券发起式,葛沁沁,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
896,015969.OF,博时富尊一年定开债发起式,"黄海峰,王帅",混合债券型基金(一级),稳定小基金公司,稳定长,稳定大,
897,016009.OF,中加博盈一年定开债券发起,于跃,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
898,016011.OF,西部利得沣享债券A,刘心峰,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,
899,016023.OF,兴业添益6个月定开债券,"周鸣,倪侃",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
900,016024.OF,工银稳健丰瑞90天持有短债A,"张略钊,姚璐伟",短期纯债券型基金,稳定小基金公司,稳定短,稳定大,
901,016031.OF,民生加银瑞华绿债一年定开发起式,"李文君,裴禹翔",中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,
902,016034.OF,建信鑫福60天持有期中短债债券A,"徐华婧,彭紫云,胡泽元",短期纯债券型基金,稳定小基金公司,稳定中,稳定中,
903,016111.OF,鹏华丰尊债券,王康佳,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
904,016172.OF,鹏扬利泽债券D,"焦翠,陈钟闻",短期纯债券型基金,稳定小基金公司,稳定中,稳定小,
905,016184.OF,长城鼎利一年定开债券发起式,张棪,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,
906,016189.OF,国联恒通纯债A,"石霄蒙,哈默",中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,
907,016191.OF,永赢安悦60天持有期中短债债券A,卢绮婷,短期纯债券型基金,稳定小基金公司,稳定中,稳定中,
908,016208.OF,华泰柏瑞锦汇债券,何子建,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
909,016212.OF,中银证券安添3个月定开债券A,"曹张琪,王玉玺",中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,
910,016235.OF,浦银安盛普诚纯债债券A,"陶祺,章潇枫",中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,
911,016247.OF,天弘裕享一年定开债券发起,潘昱杉,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,
912,016296.OF,英大通佑一年定开债券,"吕一楠,韩坪,易祺坤",混合债券型基金(一级),稳定小基金公司,稳定长,稳定中,
913,016396.OF,交银稳益短债债券A,黄莹洁,短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
914,016411.OF,招商添文1年定开债发起式,李家辉,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,
915,016426.OF,国泰信瑞纯债债券,"刘嵩扬,索峰,胡智磊",中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
916,016427.OF,汇添富丰利短债D,"郑文旭,胡娜",短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
917,016432.OF,财通资管睿兴债券A,李杰,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
918,016483.OF,国泰利盈60天滚动持有中短债A,陶然,短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
919,016497.OF,建信鑫享短债债券D,"李星佑,吴沛文",短期纯债券型基金,稳定小基金公司,稳定短,稳定中,
920,016510.OF,嘉实年年红一年持有债券发起式A,轩璇,混合债券型基金(一级),稳定小基金公司,稳定短,稳定小,
921,016526.OF,招商鑫诚短债A,李家辉,短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
922,016585.OF,富国汇泽一年定期开放债券A,"吕春杰,李金柳",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
923,016609.OF,鹏华丰启债券,方昶,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,
924,016614.OF,中欧尊悦一年定开债券发起,LI TONG,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
925,016674.OF,永赢安泰中短债A,卢绮婷,短期纯债券型基金,稳定小基金公司,稳定短,稳定中,
926,016689.OF,中银淳享一年定开债券发起式,"李宪,易芳菲",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
927,016695.OF,天弘招利短债A,"程仕湘,刘莹",短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
928,016790.OF,招商鑫利中短债债券A,李家辉,短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
929,016793.OF,大成惠昭一年定开债券发起式,曾婷婷,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
930,016799.OF,建信鑫和30天持有期债券A,"吴沛文,彭紫云",中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,
931,016812.OF,长信稳航30天持有中短债债券A,"邹依恩,杜国昊",短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
932,016816.OF,兴业120天滚动持有债券A,刘禹含,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,
933,016871.OF,华富吉富30天滚动持有中短债A,倪莉莎,短期纯债券型基金,稳定小基金公司,稳定短,稳定中,
934,016875.OF,交银稳安30天滚动持有债券A,黄莹洁,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,
935,016885.OF,山西证券裕泽债券发起式A,"刘凌云,缪佳",中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
936,016914.OF,博时富泽金融债,陈黎,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,
937,016925.OF,华夏鼎辉债券A,吴彬,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,
938,016928.OF,万家鑫怡债券A,周潜玮,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,
939,016947.OF,国泰利安中短债债券A,陶然,短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
940,016951.OF,鹏华丰顺债券,杜培俊,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
941,016955.OF,国联恒润纯债A,石霄蒙,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,
942,017006.OF,永赢月月享30天持有期短债A,"王宇超,杨凡颖",短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
943,017024.OF,天弘通享债券发起A,潘昱杉,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,
944,017129.OF,嘉实致泰一年定开纯债债券发起式,轩璇,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,
945,017137.OF,长盛盛逸9个月持有期债券A,王贵君,混合债券型基金(一级),稳定小基金公司,稳定中,稳定大,
946,017201.OF,山西证券丰盈180天滚动持有中短债A,"刘凌云,缪佳",短期纯债券型基金,稳定小基金公司,稳定短,稳定大,
947,017305.OF,国寿安保超短债债券A,丁宇佳,短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
948,017307.OF,招商鑫嘉中短债债券A,李家辉,短期纯债券型基金,稳定小基金公司,稳定中,稳定小,
949,017314.OF,国泰利享安益短债债券A,"陈育洁,丁士恒",短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
950,017328.OF,永赢季季享90天持有期中短债债券A,"卢绮婷,章成",短期纯债券型基金,稳定小基金公司,稳定中,稳定中,
951,017428.OF,国泰鑫裕纯债债券,索峰,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,
952,017432.OF,交银稳安60天滚动持有债券A,姬静,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
953,017438.OF,博时安悦短债A,黄海峰,短期纯债券型基金,稳定小基金公司,稳定短,稳定中,
954,017500.OF,兴业嘉辰一年定开债券发起式,"冯小波,雷志强",中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
955,017529.OF,财通安益中短债债券A,闫梦璇,短期纯债券型基金,稳定小基金公司,稳定短,稳定小,
956,017614.OF,工银瑞福纯债债券F,李娜,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
957,017671.OF,普旭浦银安盛普旭3个月定开债券,曹治国,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,
958,017681.OF,建信睿安一年定期开放债券发起,刘思,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
959,017687.OF,永赢昭利债券A,杨凡颖,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,
960,017695.OF,招商添轩1年定开债,刘万锋,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,
961,017777.OF,工银开元利率债债券F,张略钊,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,
962,017812.OF,华安鼎盈一年定开债发起式,康钊,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,
963,018011.OF,交银稳安90天持有期债券A,姬静,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,
964,018085.OF,汇添富稳合4个月持有债券A,胡娜,混合债券型基金(一级),稳定小基金公司,稳定短,稳定小,
965,018196.OF,兴证全球恒远债券A,"邓娟,季伟杰",中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,
966,018252.OF,上银聚合益一年定开债券发起式,楼昕宇,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,
967,018256.OF,国寿安保安泰三个月定开债券,卢珊,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
968,018275.OF,蜂巢丰嘉债券A,"李海涛,彭朝阳",中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
969,018407.OF,博时富耀一年定开债发起式,"魏桢,李更,李汉楠",混合债券型基金(一级),稳定小基金公司,稳定短,稳定小,
970,018559.OF,广发景佳纯债,赵子良,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
971,018584.OF,浦银安盛普兴3个月定开债券,"李羿,陶祺",中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
972,018666.OF,鹏扬利沣短债D,陈钟闻,短期纯债券型基金,稳定小基金公司,稳定短,稳定中,
973,040040.OF,华安纯债债券A,郑如熙,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,轮动基金
974,040045.OF,华安添鑫中短债A,"郑如熙,马晓璇",短期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
975,050027.OF,博时信用债纯债债券A,张李陵,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,轮动基金
976,050106.OF,博时稳定价值债券A,"邓欣雨,罗霄,张李陵",混合债券型基金(一级),稳定小基金公司,稳定长,稳定中,
977,070005.OF,嘉实债券,轩璇,混合债券型基金(一级),稳定小基金公司,稳定中,稳定大,稳定信用债
978,070025.OF,嘉实信用债券A,"王立芹,赵国英",混合债券型基金(一级),稳定小基金公司,稳定长,稳定大,稳定信用债
979,070037.OF,嘉实纯债债券A,轩璇,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
980,090021.OF,大成月添利一个月滚动持有中短债债券A,曾婷婷,短期纯债券型基金,稳定小基金公司,稳定短,稳定小,轮动基金
981,100018.OF,富国天利增长债券A,黄纪亮,混合债券型基金(一级),稳定小基金公司,稳定中,稳定小,稳定信用债
982,100058.OF,富国产业债A,"黄纪亮,武磊",混合债券型基金(一级),稳定小基金公司,稳定短,稳定大,稳定信用债
983,100066.OF,富国纯债债券发起式A/B,"吕春杰,张洋",中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
984,100072.OF,富国强回报定期开放债券A,黄纪亮,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
985,110035.OF,易方达双债增强债券A,"田鑫,王晓晨",混合债券型基金(一级),稳定小基金公司,稳定长,稳定小,稳定信用债
986,110051.OF,易方达安和中短债债券A,梁莹,短期纯债券型基金,稳定小基金公司,稳定中,稳定大,
987,110053.OF,易方达安源中短债债券A,李一硕,短期纯债券型基金,稳定小基金公司,稳定短,稳定大,
988,160602.OF,鹏华普天债券A,刘涛,混合债券型基金(一级),稳定小基金公司,稳定短,稳定中,稳定信用债
989,202103.OF,南方多利增强债券A,李璇,混合债券型基金(一级),稳定小基金公司,稳定中,稳定小,
990,202108.OF,南方润元纯债债券A/B,金凌志,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
991,217003.OF,招商安泰债券A,刘万锋,混合债券型基金(一级),稳定小基金公司,稳定长,稳定大,轮动基金
992,217022.OF,招商产业债券A,马龙,混合债券型基金(一级),稳定小基金公司,稳定中,稳定中,稳定信用债
993,261001.OF,景顺长城稳定收益债券A,"李训练,何江波",混合债券型基金(一级),稳定小基金公司,稳定短,稳定小,轮动基金
994,270043.OF,广发理财年年红债券,吴迪,短期纯债券型基金,稳定小基金公司,稳定短,稳定大,
995,270048.OF,广发纯债债券A,宋倩倩,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
