jydm,FrawX,FrawY,Xstyle,Ystyle
070021.OF,190.79453687366313,111.39344423351656,均衡型,中盘
000985.OF,190.78339685405106,110.28020173037186,均衡型,中盘
090009.OF,190.73715794043076,292.59762688058004,均衡型,大盘
001054.OF,190.66494417790065,283.5404456491352,均衡型,大盘
519767.OF,190.6589457625271,170.9483067906064,均衡型,中盘
340006.OF,190.5073341949033,204.0352214326329,均衡型,大盘
161810.SZ,190.31558678370362,59.45639296318302,均衡型,小盘
160518.SZ,190.2225664648491,166.73174424216222,均衡型,中盘
378010.OF,190.07985413213794,80.69700683785999,均衡型,小盘
481001.OF,189.8872484884083,246.58609613228938,均衡型,大盘
003293.OF,189.64240567455266,168.46005336345428,均衡型,中盘
001910.OF,189.25004973569713,237.8854989392709,均衡型,大盘
001028.OF,189.08518854592342,166.94775792380503,均衡型,中盘
460007.OF,189.03998629040828,181.7339942043506,均衡型,中盘
481013.OF,188.79636512392852,224.51043972984485,均衡型,大盘
001398.OF,188.79289253274692,176.73688349199864,均衡型,中盘
000589.OF,188.33219588401766,350.95904690835613,均衡型,大盘
163503.SZ,188.30185290287918,235.91984269077935,均衡型,大盘
001736.OF,187.91981078353407,132.09031608226644,均衡型,中盘
519181.OF,187.918287524146,155.75989821925822,均衡型,中盘
001437.OF,187.25842343542303,245.57508180691522,均衡型,大盘
001070.OF,187.2263108753326,117.26379438702011,均衡型,中盘
420001.OF,187.1302703821519,156.4189962491562,均衡型,中盘
470009.OF,186.97098494776372,84.42101087035319,均衡型,小盘
001468.OF,186.4444542500423,5.222392947005174,均衡型,小盘
320005.OF,186.3240198965768,194.97253981933238,均衡型,中盘
160918.SZ,185.8765229837383,119.70976114080041,均衡型,中盘
001473.OF,185.34091618249212,350.8712884854031,均衡型,大盘
000308.OF,184.85777098966793,123.08727329421629,均衡型,中盘
519975.OF,184.76279916484378,15.127874355702932,均衡型,小盘
004374.OF,183.85159931999178,93.67126257103233,均衡型,小盘
001071.OF,183.5585960868022,111.77824470623669,均衡型,中盘
400025.OF,183.25682801097673,247.7431816466291,均衡型,大盘
000778.OF,182.91568988787878,343.5243536637963,均衡型,大盘
001349.OF,182.23750882714575,164.0787150970875,价值型,中盘
519704.OF,181.9614893844333,109.06265697358258,价值型,中盘
001256.OF,181.5570567284816,132.254064070427,价值型,中盘
001396.OF,180.95818848344746,263.6391386117068,价值型,大盘
000457.OF,180.93406214820146,224.90659179457768,价值型,大盘
000082.OF,180.69653311594556,196.85444659223202,价值型,中盘
165313.SZ,180.2291054618567,158.67415096543894,价值型,中盘
519983.OF,179.7957888840487,86.8613245680133,价值型,小盘
004958.OF,179.50205077286765,129.27358649111443,价值型,中盘
519069.OF,179.33538308629662,310.6613177513824,价值型,大盘
519021.OF,179.07638043411785,136.06167245532225,价值型,中盘
001017.OF,178.56223606280304,155.9934982349003,价值型,中盘
530003.OF,178.47786149165933,329.64809035714404,价值型,大盘
001990.OF,178.41485627266283,7.512816051844631,价值型,小盘
001195.OF,177.96992188101814,99.60522734311934,价值型,小盘
000471.OF,177.60364726133338,156.53680495982323,价值型,中盘
450003.OF,177.28658765739635,241.08937642377109,价值型,大盘
005241.OF,177.1626953345496,220.69666841177443,价值型,大盘
003834.OF,177.10597834475186,185.23102410069689,价值型,中盘
004881.OF,176.99870435284927,327.46072048980795,价值型,大盘
001857.OF,176.90865700504784,307.8526900383349,价值型,大盘
519773.OF,176.8727140877845,51.57387537187012,价值型,小盘
519965.OF,176.8374376320848,336.2085097450201,价值型,大盘
450004.OF,176.52288400601935,248.74409402639688,价值型,大盘
002808.OF,176.39347735406122,148.68748565889948,价值型,中盘
481004.OF,176.30745008858239,297.7035717173115,价值型,大盘
550001.OF,175.8809240359266,124.1824506355978,价值型,中盘
377010.OF,175.7811460169919,218.74396968126226,价值型,大盘
002562.OF,175.5756082573694,113.64368907241315,价值型,中盘
000011.OF,175.18912687354847,143.23587619563952,价值型,中盘
270021.OF,175.13158464022771,177.7059202110542,价值型,中盘
001825.OF,174.38512044338745,194.915311036685,价值型,中盘
161706.SZ,173.97673231141988,218.9307252721659,价值型,大盘
233006.OF,173.08209075368302,136.342408017121,价值型,中盘
519196.OF,172.87059393491566,170.0318922818247,价值型,中盘
001672.OF,172.77922355281862,-3.6589107379006682,价值型,小盘
163412.SZ,172.76054234946162,186.26331966177935,价值型,中盘
000746.OF,172.70027443472281,218.3036773380607,价值型,大盘
000612.OF,172.26760176876581,85.95445632377013,价值型,小盘
001373.OF,171.72487499922636,156.28933673841175,价值型,中盘
519756.OF,171.62538328510243,229.62915158936366,价值型,大盘
001297.OF,171.4171574604525,236.33268216805325,价值型,大盘
020010.OF,171.20818907945056,14.72180648713655,价值型,小盘
005094.OF,170.68253547742736,166.15414506228225,价值型,中盘
166301.OF,170.39644497036767,116.26069775153593,价值型,中盘
001008.OF,170.17057204027935,242.05096273483116,价值型,大盘
004477.OF,169.81208978948794,206.36394175031035,价值型,大盘
210003.OF,169.2217529705642,163.5267431570519,价值型,中盘
070017.OF,169.21883747832402,218.97159183751373,价值型,大盘
550003.OF,169.16771663487472,260.14757874831355,价值型,大盘
000390.OF,169.1012217833664,106.63088822029694,价值型,中盘
163406.SZ,168.96228935712512,167.7592936823229,价值型,中盘
163415.SZ,168.78133343878946,137.84237202814248,价值型,中盘
002624.OF,167.97439021181617,174.5445581714183,价值型,中盘
001667.OF,167.95898679055745,204.68854179248953,价值型,大盘
519991.OF,167.40530135729492,114.77442826917965,价值型,中盘
270025.OF,166.69710111078922,181.24974376624476,价值型,中盘
519195.OF,166.55751081900812,157.43120144585046,价值型,中盘
040008.OF,166.29942835434193,200.07168356064886,价值型,大盘
000309.OF,165.53511695993427,150.86521654548227,价值型,中盘
001223.OF,164.27465773538268,129.39901516599957,价值型,中盘
229002.OF,164.00692515759022,155.28604893904577,价值型,中盘
002593.OF,163.96600052519548,242.48350527233106,价值型,大盘
001179.OF,163.6217261893217,175.1927269734687,价值型,中盘
450009.OF,162.30342202248252,189.81527858619512,价值型,中盘
000747.OF,161.72971474586538,186.0375602766399,价值型,中盘
000242.OF,161.20058628489136,149.4286163012183,价值型,中盘
100026.OF,161.0176422736439,245.85479137125887,价值型,大盘
217010.OF,160.6995012385817,179.81459515844855,价值型,中盘
163409.SZ,159.83279313053887,202.01285910940447,价值型,大盘
519727.OF,159.8220475676943,271.3008396278117,价值型,大盘
002249.OF,159.31238063953123,175.04709764563373,价值型,中盘
