,thscode,杠杆比例标签20230630,杠杆比例标签20230331,杠杆比例标签20221231,杠杆比例标签20220930,杠杆比例标签20220630,杠杆比例标签20220331,lever
335,006804.OF,中,中,中,中,中,中,稳定中
336,006707.OF,中,中,中,中,中,中,稳定中
337,009207.OF,中,中,中,中,中,中,稳定中
338,016034.OF,中,中,中,中,中,中,稳定中
339,017129.OF,中,中,中,中,中,中,稳定中
340,010048.OF,中,中,中,中,中,中,稳定中
341,005754.OF,中,中,中,中,中,中,稳定中
342,016925.OF,中,中,中,中,中,中,稳定中
343,002143.OF,中,中,中,中,中,中,稳定中
344,014504.OF,中,中,中,中,中,中,稳定中
345,007408.OF,中,中,中,中,中,中,稳定中
346,003417.OF,中,中,中,中,中,中,稳定中
347,217022.OF,中,中,中,中,中,中,稳定中
348,003258.OF,中,中,中,中,中,中,稳定中
349,014059.OF,中,中,中,中,中,中,稳定中
350,015255.OF,中,中,中,中,中,中,稳定中
351,008170.OF,中,中,中,中,中,中,稳定中
352,002466.OF,中,中,中,中,中,中,稳定中
353,009041.OF,中,中,中,中,中,中,稳定中
354,000252.OF,中,中,中,中,中,中,稳定中
355,001960.OF,中,中,中,中,中,中,稳定中
356,000295.OF,中,中,中,中,中,中,稳定中
357,000090.OF,中,中,中,中,中,中,稳定中
358,003983.OF,中,中,中,中,中,中,稳定中
359,000346.OF,中,中,中,中,中,中,稳定中
360,012451.OF,中,中,中,中,中,中,稳定中
361,004839.OF,中,中,中,中,中,中,稳定中
362,009306.OF,中,中,中,中,中,中,稳定中
363,012395.OF,中,中,中,中,中,中,稳定中
364,519782.OF,中,中,中,中,中,中,稳定中
365,005831.OF,中,中,中,中,中,中,稳定中
366,005362.OF,中,中,中,中,中,中,稳定中
367,017438.OF,中,中,中,中,中,中,稳定中
368,004334.OF,中,中,中,中,中,中,稳定中
369,006635.OF,中,中,中,中,中,中,稳定中
370,014552.OF,中,中,中,中,中,中,稳定中
371,015530.OF,中,中,中,中,中,中,稳定中
372,013838.OF,中,中,中,中,中,中,稳定中
373,007086.OF,中,中,中,中,中,中,稳定中
374,003847.OF,中,中,中,中,中,中,稳定中
375,016212.OF,中,中,中,中,中,中,稳定中
376,002898.OF,中,中,中,中,中,中,稳定中
377,003863.OF,中,中,中,中,中,中,稳定中
378,011955.OF,中,中,中,中,中,中,稳定中
379,005419.OF,中,中,中,中,中,中,稳定中
380,004140.OF,中,中,中,中,中,中,稳定中
381,012229.OF,中,中,中,中,中,中,稳定中
382,008463.OF,中,中,中,中,中,中,稳定中
383,006582.OF,中,中,中,中,中,中,稳定中
384,007572.OF,中,中,中,中,中,中,稳定中
385,006834.OF,中,中,中,中,中,中,稳定中
386,007717.OF,中,中,中,中,中,中,稳定中
387,010191.OF,中,中,中,中,中,中,稳定中
388,160602.OF,中,中,中,中,中,中,稳定中
389,007888.OF,中,中,中,中,中,中,稳定中
390,009483.OF,中,中,中,中,中,中,稳定中
391,014714.OF,中,中,中,中,中,中,稳定中
392,008651.OF,中,中,中,中,中,中,稳定中
393,002395.OF,中,中,中,中,中,中,稳定中
394,009580.OF,中,中,中,中,中,中,稳定中
395,009091.OF,中,中,中,中,中,中,稳定中
396,007603.OF,中,中,中,中,中,中,稳定中
397,006953.OF,中,中,中,中,中,中,稳定中
398,014856.OF,中,中,中,中,中,中,稳定中
399,014858.OF,中,中,中,中,中,中,稳定中
400,016497.OF,中,中,中,中,中,中,稳定中
401,013206.OF,中,中,中,中,中,中,稳定中
402,675041.OF,中,中,中,中,中,中,稳定中
403,009953.OF,中,中,中,中,中,中,稳定中
404,008558.OF,中,中,中,中,中,中,稳定中
